,MANUFACTURE_YEAR,TAIL_NUM,NUMBER_OF_SEATS
0,1944,N54514,0.0
1,1945,N1651M,0.0
2,1953,N100CE,0.0
3,1953,N141FL,0.0
4,1953,N151FL,0.0
5,1953,N381FL,0.0
6,1954,N6174C,0.0
7,1954,N400UA,0.0
8,1955,N747CE,2.0
9,1955,N9148F,0.0
10,1955,N131FL,0.0
11,1955,N351FL,0.0
12,1955,N391FL,0.0
13,1956,N171FL,0.0
14,1956,N181FL,0.0
15,1956,N191FL,0.0
16,1956,N361FL,0.0
17,1956,N371FL,0.0
18,1957,N551CE,0.0
19,1957,N555SQ,0.0
20,1957,N751CE,0.0
21,1958,N151,0.0
22,1958,N9056R,0.0
23,1958,N851CE,0.0
24,1958,N991FL,0.0
25,1966,N783TW,0.0
26,1967,N904CE,0.0
27,1967,N784TW,0.0
28,1967,N785TW,0.0
29,1967,N782TW,0.0
30,1967,N915CK,0.0
31,1967,N917CK,0.0
32,1967,N192US,0.0
33,1967,N195US,0.0
34,1967,N196US,0.0
35,1968,N916CK,0.0
36,1968,N811AA,0.0
37,1968,N208US,0.0
38,1969,N930CE,0.0
39,1969,N935CE,0.0
40,1969,N822AA,0.0
41,1969,N327US,0.0
42,1970,N932CE,0.0
43,1971,N368FE,0.0
44,1971,N724CK,0.0
45,1972,N375FE,0.0
46,1972,N381FE,0.0
47,1972,N550FE,0.0
48,1972,ZS-RSC,0.0
49,1973,N383FE,0.0
50,1973,N303FE,0.0
51,1974,N326TR,0.0
52,1974,N390FE,0.0
53,1974,ZS-RSG,0.0
54,1974,ZS-RSF,0.0
55,1974,N827AA,0.0
56,1975,N810TA,0.0
57,1975,N394FE,0.0
58,1975,N396FE,0.0
59,1975,N357FE,0.0
60,1975,N311FE,0.0
61,1975,N401LC,0.0
62,1975,N403LC,0.0
63,1975,N408LC,0.0
64,1976,N402LC,0.0
65,1976,N406LC,0.0
66,1976,N409LC,0.0
67,1976,ZS-JIV,0.0
68,1976,N205US,0.0
69,1977,N562FE,0.0
70,1977,N404LC,0.0
71,1978,N304FE,0.0
72,1978,N281FL,0.0
73,1978,ZS-OPS,0.0
74,1979,N10060,0.0
75,1979,N318FE,0.0
76,1980,N359FE,0.0
77,1980,N360FE,0.0
78,1980,N571FE,0.0
79,1980,N320FE,0.0
80,1980,N321FE,0.0
81,1980,N319FE,0.0
82,1980,N725CK,0.0
83,1980,N726CK,0.0
84,1981,N705AA,0.0
85,1981,N727US,0.0
86,1981,N726US,0.0
87,1982,N650GT,0.0
88,1982,N767MW,269.0
89,1982,N739AX,0.0
90,1982,N729CK,0.0
91,1982,N743AX,
92,1982,N234OU,6.0
93,1983,N306AL,0.0
94,1983,N818EC,16.0
95,1983,N651GT,0.0
96,1983,N652GT,0.0
97,1983,N653GT,0.0
98,1983,N762CX,0.0
99,1983,N763CX,0.0
100,1983,N714AX,0.0
101,1983,N740AX,0.0
102,1983,N744AX,0.0
103,1983,N767AX,0.0
104,1983,N768AX,0.0
105,1983,N774AX,0.0
106,1983,N935FD,0.0
107,1984,N605KW,236.0
108,1984,N655GT,0.0
109,1984,N656GT,0.0
110,1984,N657GT,0.0
111,1984,N658GT,0.0
112,1984,N659GT,0.0
113,1984,N605DL,0.0
114,1984,N255CM,0.0
115,1984,N312AA,0.0
116,1984,N783AX,0.0
117,1984,N749AX,0.0
118,1984,N750AX,0.0
119,1984,N215WE,0.0
120,1984,N216WE,0.0
121,1985,N602KW,218.0
122,1985,N603KW,218.0
123,1985,N737CS,0.0
124,1985,N761CX,0.0
125,1985,N791AX,0.0
126,1985,N795AX,0.0
127,1985,N797AX,0.0
128,1985,N306FE,0.0
129,1985,N926FD,0.0
130,1985,N936FD,0.0
131,1985,N405LC,0.0
132,1985,N361NC,0.0
133,1985,N362NC,0.0
134,1985,N708S,100.0
135,1986,N620DL,0.0
136,1986,N557CM,0.0
137,1986,N465TW,60.0
138,1986,N467TW,60.0
139,1986,N902FE,0.0
140,1986,N903FE,0.0
141,1986,N904FE,0.0
142,1986,N905FE,0.0
143,1986,N906FE,0.0
144,1986,N907FE,0.0
145,1986,N908FE,0.0
146,1986,N909FE,0.0
147,1986,N910FE,0.0
148,1986,N912FE,0.0
149,1986,N307FE,0.0
150,1986,N308FE,0.0
151,1986,N942FD,0.0
152,1986,N990FD,0.0
153,1986,N991FD,0.0
154,1986,N992FD,0.0
155,1987,N809TA,0.0
156,1987,N999YV,0.0
157,1987,N961CE,0.0
158,1987,N401UP,0.0
159,1987,N402UP,0.0
160,1987,N403UP,0.0
161,1987,N404UP,0.0
162,1987,N405UP,0.0
163,1987,N798AX,0.0
164,1987,N752AX,0.0
165,1987,N905DL,149.0
166,1987,N912DL,149.0
167,1987,N717FD,0.0
168,1987,N808FD,0.0
169,1987,N911FX,0.0
170,1987,N912FX,0.0
171,1987,N797FE,0.0
172,1987,N804FE,0.0
173,1987,N807FE,0.0
174,1987,N895FE,0.0
175,1987,N900FE,0.0
176,1987,N911FE,0.0
177,1987,N914FE,0.0
178,1987,N916FE,0.0
179,1987,CFEXH,0.0
180,1987,N918FE,0.0
181,1987,N919FE,0.0
182,1987,N920FE,0.0
183,1987,N921FE,0.0
184,1987,N922FE,0.0
185,1987,N923FE,0.0
186,1987,N925FE,0.0
187,1987,N926FE,0.0
188,1987,N927FE,0.0
189,1987,N928FE,0.0
190,1987,N929FE,0.0
191,1987,N930FE,0.0
192,1987,N931FE,0.0
193,1987,N933FE,0.0
194,1987,N934FE,0.0
195,1987,N935FE,0.0
196,1987,N936FE,0.0
197,1987,N937FE,0.0
198,1987,CFEXN,0.0
199,1987,N940FE,0.0
200,1987,N943FE,0.0
201,1987,N946FE,0.0
202,1987,N947FE,0.0
203,1987,CFEXI,0.0
204,1987,N952FE,0.0
205,1987,N953FE,0.0
206,1987,N954FE,0.0
207,1987,N955FE,0.0
208,1987,N956FE,0.0
209,1987,N937FD,0.0
210,1987,N941FD,0.0
211,1987,N943FD,0.0
212,1987,N331CK,0.0
213,1987,N360WA,0.0
214,1987,N804WA,155.0
215,1988,N604KW,236.0
216,1988,N881YV,0.0
217,1988,N1105G,0.0
218,1988,N568SW,0.0
219,1988,N406UP,0.0
220,1988,N407UP,0.0
221,1988,N408UP,0.0
222,1988,N409UP,0.0
223,1988,N410UP,0.0
224,1988,N411UP,0.0
225,1988,N412UP,0.0
226,1988,N413UP,0.0
227,1988,N414UP,0.0
228,1988,N415UP,0.0
229,1988,N1709A,269.0
230,1988,N359AZ,0.0
231,1988,N397AZ,0.0
232,1988,N360AA,218.0
233,1988,N362CM,0.0
234,1988,N317CM,0.0
235,1988,N913DL,149.0
236,1988,N916DL,149.0
237,1988,N917DL,149.0
238,1988,N722FD,0.0
239,1988,N820FE,0.0
240,1988,N828FE,0.0
241,1988,N841FE,0.0
242,1988,N957FE,0.0
243,1988,N958FE,0.0
244,1988,N959FE,0.0
245,1988,N960FE,0.0
246,1988,N961FE,0.0
247,1988,N962FE,0.0
248,1988,N963FE,0.0
249,1988,N964FE,0.0
250,1988,N965FE,0.0
251,1988,N966FE,0.0
252,1988,N967FE,0.0
253,1988,N968FE,0.0
254,1988,N969FE,0.0
255,1988,N970FE,0.0
256,1988,N971FE,0.0
257,1988,N972FE,0.0
258,1988,N973FE,0.0
259,1988,N976FE,0.0
260,1988,N977FE,0.0
261,1988,N980FE,0.0
262,1988,N981FE,0.0
263,1988,N983FE,0.0
264,1988,N984FE,0.0
265,1988,N985FE,0.0
266,1988,N989FE,0.0
267,1988,N990FE,0.0
268,1988,N991FE,0.0
269,1988,N992FE,0.0
270,1988,N993FE,0.0
271,1988,N994FE,0.0
272,1988,N995FE,0.0
273,1988,N996FE,0.0
274,1988,N998FE,0.0
275,1988,N315FE,0.0
276,1988,N313FE,0.0
277,1988,N316FE,0.0
278,1988,N912FD,0.0
279,1988,N913FD,0.0
280,1988,N915FD,0.0
281,1988,N916FD,0.0
282,1988,N933FD,0.0
283,1988,N934FD,0.0
284,1988,N962FD,0.0
285,1988,N977FD,0.0
286,1988,N978FD,0.0
287,1988,N316CM,
288,1988,N319CM,
289,1989,N249BA,0.0
290,1989,N1511A,269.0
291,1989,N752CX,42.0
292,1989,N219CY,0.0
293,1989,N364CM,0.0
294,1989,N719FD,0.0
295,1989,N724FD,0.0
296,1989,N749FD,0.0
297,1989,N900FX,0.0
298,1989,N923FX,0.0
299,1989,N798FE,0.0
300,1989,N843FE,0.0
301,1989,N844FE,0.0
302,1989,N845FE,0.0
303,1989,N846FE,0.0
304,1989,N847FE,0.0
305,1989,N848FE,0.0
306,1989,N849FE,0.0
307,1989,N850FE,0.0
308,1989,N851FE,0.0
309,1989,N853FE,0.0
310,1989,N856FE,0.0
311,1989,N857FE,0.0
312,1989,N858FE,0.0
313,1989,N859FE,0.0
314,1989,N861FE,0.0
315,1989,N862FE,0.0
316,1989,N863FE,0.0
317,1989,N864FE,0.0
318,1989,N865FE,0.0
319,1989,N866FE,0.0
320,1989,N867FE,0.0
321,1989,N869FE,0.0
322,1989,N870FE,0.0
323,1989,N871FE,0.0
324,1989,N872FE,0.0
325,1989,N873FE,0.0
326,1989,N885FE,0.0
327,1989,N886FE,0.0
328,1989,N939FE,0.0
329,1989,N986FE,0.0
330,1989,N987FE,0.0
331,1989,N997FE,0.0
332,1989,N914FD,0.0
333,1989,N917FD,0.0
334,1989,N918FD,0.0
335,1989,N920FD,0.0
336,1989,N922FD,0.0
337,1989,N928FD,0.0
338,1989,N939FD,0.0
339,1989,N944FD,0.0
340,1989,N946FD,0.0
341,1989,N958FD,0.0
342,1989,N938FD,0.0
343,1989,N963FD,0.0
344,1989,N740CK,0.0
345,1989,N741CK,0.0
346,1989,N761CK,0.0
347,1989,N732CK,0.0
348,1989,N831US,0.0
349,1989,N502UA,170.0
350,1989,N803WA,153.0
351,1990,N688XA,150.0
352,1990,N706KW,280.0
353,1990,N416UP,0.0
354,1990,N417UP,0.0
355,1990,N418UP,0.0
356,1990,N419UP,0.0
357,1990,N420UP,0.0
358,1990,N465MC,524.0
359,1990,N780BA,0.0
360,1990,N429MC,0.0
361,1990,N640GT,269.0
362,1990,N313AZ,0.0
363,1990,N409AZ,0.0
364,1990,N363CM,0.0
365,1990,N658DL,199.0
366,1990,N659DL,199.0
367,1990,N660DL,199.0
368,1990,N152DL,226.0
369,1990,N171DN,211.0
370,1990,N172DN,211.0
371,1990,N174DN,211.0
372,1990,N175DN,211.0
373,1990,N176DN,211.0
374,1990,N309US,157.0
375,1990,N312US,157.0
376,1990,N958DL,149.0
377,1990,N960DL,149.0
378,1990,N963DL,149.0
379,1990,N964DL,149.0
380,1990,N965DL,149.0
381,1990,N966DL,149.0
382,1990,N967DL,149.0
383,1990,N968DL,149.0
384,1990,N969DL,149.0
385,1990,N970DL,149.0
386,1990,N726FD,0.0
387,1990,N728FD,0.0
388,1990,N740FD,0.0
389,1990,N723FD,0.0
390,1990,N750FD,0.0
391,1990,N901FX,0.0
392,1990,N903FX,0.0
393,1990,N750FE,0.0
394,1990,CFEXX,0.0
395,1990,N796FE,0.0
396,1990,N831FE,0.0
397,1990,N855FE,0.0
398,1990,N874FE,0.0
399,1990,N875FE,0.0
400,1990,N876FE,0.0
401,1990,N878FE,0.0
402,1990,N879FE,0.0
403,1990,N880FE,0.0
404,1990,N881FE,0.0
405,1990,N882FE,0.0
406,1990,N883FE,0.0
407,1990,N887FE,0.0
408,1990,N888FE,0.0
409,1990,N889FE,0.0
410,1990,N890FE,0.0
411,1990,N891FE,0.0
412,1990,N892FE,0.0
413,1990,N894FE,0.0
414,1990,N896FE,0.0
415,1990,N897FE,0.0
416,1990,N898FE,0.0
417,1990,N999FE,0.0
418,1990,N747FE,0.0
419,1990,N748FE,0.0
420,1990,N749FE,0.0
421,1990,N751FE,0.0
422,1990,N752FE,0.0
423,1990,N877FE,0.0
424,1990,N884FE,0.0
425,1990,N899FE,0.0
426,1990,N919FD,0.0
427,1990,N940FD,0.0
428,1990,N947FD,0.0
429,1990,N957FD,0.0
430,1990,N964FD,0.0
431,1990,N770FD,0.0
432,1990,N997FD,0.0
433,1990,N998FD,0.0
434,1990,N985FD,0.0
435,1990,N773FD,0.0
436,1990,N771FD,0.0
437,1990,N772FD,0.0
438,1990,N999FD,0.0
439,1990,N742CK,0.0
440,1990,N703CK,0.0
441,1990,N760CK,0.0
442,1990,N411SN,0.0
443,1990,N412SN,0.0
444,1990,N373CM,
445,1990,N176CA,170.0
446,1990,N5025,0.0
447,1990,N510UA,170.0
448,1990,N512UA,170.0
449,1990,N802WA,150.0
450,1990,N808WA,155.0
451,1991,N703KW,272.0
452,1991,N732KA,58.0
453,1991,N258UP,0.0
454,1991,N259UP,0.0
455,1991,N282UP,0.0
456,1991,N283UP,0.0
457,1991,N286UP,0.0
458,1991,N293UP,0.0
459,1991,N294UP,0.0
460,1991,N296UP,0.0
461,1991,N421UP,0.0
462,1991,N422UP,0.0
463,1991,N423UP,0.0
464,1991,N424UP,0.0
465,1991,N425UP,0.0
466,1991,N531UA,0.0
467,1991,N311AZ,0.0
468,1991,N331AZ,0.0
469,1991,N654A,184.0
470,1991,N220CY,0.0
471,1991,N665DN,199.0
472,1991,N667DN,199.0
473,1991,N668DN,199.0
474,1991,N669DN,199.0
475,1991,N154DL,226.0
476,1991,N155DL,226.0
477,1991,N156DL,226.0
478,1991,N177DN,211.0
479,1991,N178DN,211.0
480,1991,N179DN,211.0
481,1991,N317US,157.0
482,1991,N319US,157.0
483,1991,N320US,157.0
484,1991,N321US,157.0
485,1991,N322US,157.0
486,1991,N323US,157.0
487,1991,N324US,157.0
488,1991,N325US,157.0
489,1991,N326US,157.0
490,1991,N971DL,149.0
491,1991,N972DL,149.0
492,1991,N973DL,149.0
493,1991,N974DL,149.0
494,1991,N976DL,149.0
495,1991,N978DL,149.0
496,1991,N979DL,149.0
497,1991,N990DL,149.0
498,1991,N991DL,149.0
499,1991,N993DL,149.0
500,1991,N994DL,149.0
501,1991,N995DL,149.0
502,1991,N996DL,149.0
503,1991,N727FD,0.0
504,1991,N741FD,0.0
505,1991,N742FD,0.0
506,1991,N909FX,0.0
507,1991,N910FX,0.0
508,1991,N913FX,0.0
509,1991,N915FX,0.0
510,1991,N918FX,0.0
511,1991,N919FX,0.0
512,1991,EIFXB,0.0
513,1991,EIFXD,0.0
514,1991,ECKAI,0.0
515,1991,CFTAR,0.0
516,1991,N810FX,0.0
517,1991,EIFXG,0.0
518,1991,EIFXH,0.0
519,1991,EIFXK,0.0
520,1991,N820FX,0.0
521,1991,N821FX,0.0
522,1991,N761FE,0.0
523,1991,N762FE,0.0
524,1991,N763FE,0.0
525,1991,N764FE,0.0
526,1991,N765FE,0.0
527,1991,N767FE,0.0
528,1991,N768FE,0.0
529,1991,N770FE,0.0
530,1991,N771FE,0.0
531,1991,N772FE,0.0
532,1991,N773FE,0.0
533,1991,N774FE,0.0
534,1991,N775FE,0.0
535,1991,N778FE,0.0
536,1991,N779FE,0.0
537,1991,N780FE,0.0
538,1991,N781FE,0.0
539,1991,N782FE,0.0
540,1991,N783FE,0.0
541,1991,N784FE,0.0
542,1991,N785FE,0.0
543,1991,N786FE,0.0
544,1991,N787FE,0.0
545,1991,N788FE,0.0
546,1991,N789FE,0.0
547,1991,N790FE,0.0
548,1991,N792FE,0.0
549,1991,N794FE,0.0
550,1991,N795FE,0.0
551,1991,N574FE,0.0
552,1991,N631FE,0.0
553,1991,N601FE,0.0
554,1991,N603FE,0.0
555,1991,N582FE,0.0
556,1991,N586FE,0.0
557,1991,N602FE,0.0
558,1991,N592FE,0.0
559,1991,N910FD,0.0
560,1991,N921FD,0.0
561,1991,N930FD,0.0
562,1991,N948FD,0.0
563,1991,N949FD,0.0
564,1991,N959FD,0.0
565,1991,N961FD,0.0
566,1991,N786FD,0.0
567,1991,N780FD,0.0
568,1991,N775FD,0.0
569,1991,N776FD,0.0
570,1991,N777FD,0.0
571,1991,N778FD,0.0
572,1991,N779FD,0.0
573,1991,N583FE,0.0
574,1991,N590FE,0.0
575,1991,N708CK,0.0
576,1991,N435KD,0.0
577,1991,N405CK,0.0
578,1991,N407LC,0.0
579,1991,N396CM,
580,1991,N567CA,184.0
581,1991,N952CA,0.0
582,1991,N919CA,0.0
583,1991,N688SL,0.0
584,1991,N641UA,198.0
585,1991,N644UA,198.0
586,1991,N546UA,170.0
587,1991,N642UA,198.0
588,1991,N643UA,198.0
589,1991,N950AR,0.0
590,1991,N806WA,150.0
591,1992,N700KW,240.0
592,1992,N705KW,280.0
593,1992,N403TB,16.0
594,1992,N964CE,0.0
595,1992,N965CE,0.0
596,1992,N255UP,0.0
597,1992,N256UP,0.0
598,1992,N257UP,0.0
599,1992,N260UP,0.0
600,1992,N285UP,0.0
601,1992,N289UP,0.0
602,1992,N290UP,0.0
603,1992,N291UP,0.0
604,1992,N295UP,0.0
605,1992,N426UP,0.0
606,1992,N427UP,0.0
607,1992,N428UP,0.0
608,1992,N429UP,0.0
609,1992,N430UP,0.0
610,1992,N464MC,524.0
611,1992,N472MC,0.0
612,1992,N718BA,0.0
613,1992,N747BC,0.0
614,1992,N1217A,269.0
615,1992,N641GT,269.0
616,1992,N649GT,269.0
617,1992,N753CX,42.0
618,1992,N353AZ,0.0
619,1992,N379AZ,0.0
620,1992,N376AN,0.0
621,1992,N395CM,0.0
622,1992,N360CM,0.0
623,1992,N372CM,0.0
624,1992,N226CY,0.0
625,1992,N670DN,199.0
626,1992,N671DN,199.0
627,1992,N672DL,199.0
628,1992,N673DL,199.0
629,1992,N674DL,199.0
630,1992,N675DL,199.0
631,1992,N676DL,199.0
632,1992,N678DL,199.0
633,1992,N679DA,199.0
634,1992,N680DA,199.0
635,1992,N180DN,226.0
636,1992,N181DN,226.0
637,1992,N182DN,226.0
638,1992,N327NW,157.0
639,1992,N328NW,157.0
640,1992,N329NW,157.0
641,1992,N330NW,157.0
642,1992,N331NW,157.0
643,1992,N332NW,157.0
644,1992,N333NW,157.0
645,1992,N334NW,157.0
646,1992,N335NW,157.0
647,1992,N336NW,157.0
648,1992,N337NW,157.0
649,1992,N338NW,157.0
650,1992,N339NW,157.0
651,1992,N340NW,157.0
652,1992,N341NW,157.0
653,1992,N342NW,157.0
654,1992,N343NW,157.0
655,1992,N344NW,157.0
656,1992,N900DE,149.0
657,1992,N901DE,149.0
658,1992,N902DE,149.0
659,1992,N903DE,149.0
660,1992,N904DE,149.0
661,1992,N905DE,149.0
662,1992,N906DE,149.0
663,1992,N907DE,149.0
664,1992,N908DE,149.0
665,1992,N909DE,149.0
666,1992,N910DE,149.0
667,1992,N911DE,149.0
668,1992,N912DE,149.0
669,1992,N997DL,149.0
670,1992,N998DL,149.0
671,1992,N999DN,149.0
672,1992,N729FD,0.0
673,1992,N730FD,0.0
674,1992,N743FD,0.0
675,1992,N745FD,0.0
676,1992,N748FD,0.0
677,1992,N744FD,0.0
678,1992,N751FD,0.0
679,1992,N906FX,0.0
680,1992,N907FX,0.0
681,1992,N914FX,0.0
682,1992,N916FX,0.0
683,1992,N920FX,0.0
684,1992,N921FX,0.0
685,1992,EIFXA,0.0
686,1992,EIFXC,0.0
687,1992,EIFXE,0.0
688,1992,N800FX,0.0
689,1992,N801FX,0.0
690,1992,N802FX,0.0
691,1992,N811FX,0.0
692,1992,EIFXJ,0.0
693,1992,EIFXI,0.0
694,1992,N521FE,0.0
695,1992,N522FE,0.0
696,1992,N575FE,0.0
697,1992,N576FE,0.0
698,1992,N578FE,0.0
699,1992,N589FE,0.0
700,1992,N593FE,0.0
701,1992,N594FE,0.0
702,1992,N642FE,0.0
703,1992,N605FE,0.0
704,1992,N587FE,0.0
705,1992,N604FE,0.0
706,1992,N608FE,0.0
707,1992,N614FE,0.0
708,1992,N607FE,0.0
709,1992,N643FE,0.0
710,1992,N960FD,0.0
711,1992,N973FD,0.0
712,1992,N784FD,0.0
713,1992,N785FD,0.0
714,1992,N993FD,0.0
715,1992,N994FD,0.0
716,1992,N995FD,0.0
717,1992,N979FD,0.0
718,1992,N783FD,0.0
719,1992,N781FD,0.0
720,1992,N782FD,0.0
721,1992,N787FD,0.0
722,1992,N788FD,0.0
723,1992,N584FE,0.0
724,1992,N585FE,0.0
725,1992,N588FE,0.0
726,1992,N591FE,0.0
727,1992,N707CK,0.0
728,1992,N762CK,0.0
729,1992,N765CK,0.0
730,1992,N512JN,0.0
731,1992,N344KD,0.0
732,1992,N730CK,0.0
733,1992,N733CK,0.0
734,1992,N403YK,0.0
735,1992,N351CM,0.0
736,1992,N379CX,0.0
737,1992,N888LT,0.0
738,1992,N647UA,198.0
739,1992,N649UA,198.0
740,1992,N651UA,198.0
741,1992,N652UA,198.0
742,1992,N653UA,198.0
743,1992,N568UA,170.0
744,1992,N654UA,198.0
745,1992,N646UA,198.0
746,1992,N648UA,198.0
747,1992,N655UA,198.0
748,1992,N801WA,150.0
749,1993,N342AX,248.0
750,1993,N477JB,14.0
751,1993,N97EA,50.0
752,1993,N155MW,50.0
753,1993,N253UP,0.0
754,1993,N254UP,0.0
755,1993,N271UP,0.0
756,1993,N272UP,0.0
757,1993,N281UP,0.0
758,1993,N292UP,0.0
759,1993,N431UP,0.0
760,1993,N432UP,0.0
761,1993,N433UP,0.0
762,1993,N434UP,0.0
763,1993,N435UP,0.0
764,1993,N578UP,0.0
765,1993,N580UP,0.0
766,1993,N581UP,0.0
767,1993,N583UP,0.0
768,1993,N473MC,0.0
769,1993,N1181A,269.0
770,1993,N399CM,0.0
771,1993,N367AZ,0.0
772,1993,N306GT,0.0
773,1993,N307GT,0.0
774,1993,N691AA,176.0
775,1993,N692AA,176.0
776,1993,N624AG,168.0
777,1993,N681DA,199.0
778,1993,N682DA,199.0
779,1993,N683DA,199.0
780,1993,N684DA,199.0
781,1993,N183DN,211.0
782,1993,N184DN,226.0
783,1993,N345NW,157.0
784,1993,N347NW,157.0
785,1993,N348NW,157.0
786,1993,N349NW,157.0
787,1993,N350NA,157.0
788,1993,N915DE,149.0
789,1993,N918DE,149.0
790,1993,N920DE,149.0
791,1993,N731FD,0.0
792,1993,N732FD,0.0
793,1993,N733FD,0.0
794,1993,N746FD,0.0
795,1993,N650FE,0.0
796,1993,N917FX,0.0
797,1993,N803FX,0.0
798,1993,N804FX,0.0
799,1993,N805FX,0.0
800,1993,N806FX,0.0
801,1993,N807FX,0.0
802,1993,N816FX,0.0
803,1993,N819FX,0.0
804,1993,N523FE,0.0
805,1993,N525FE,0.0
806,1993,N595FE,0.0
807,1993,N597FE,0.0
808,1993,N598FE,0.0
809,1993,N599FE,0.0
810,1993,N609FE,0.0
811,1993,N606FE,0.0
812,1993,N612FE,0.0
813,1993,N610FE,0.0
814,1993,N901FD,0.0
815,1993,CFMEK,0.0
816,1993,N903FD,0.0
817,1993,CFMEP,0.0
818,1993,CFMEQ,0.0
819,1993,CFMOC,0.0
820,1993,CFMFG,0.0
821,1993,CFMAI,0.0
822,1993,CFMEU,0.0
823,1993,N923FD,0.0
824,1993,N924FD,0.0
825,1993,N794FD,0.0
826,1993,N796FD,0.0
827,1993,N976FD,0.0
828,1993,CFMHA,0.0
829,1993,N795FD,0.0
830,1993,N996FD,0.0
831,1993,N966FD,0.0
832,1993,N988FD,0.0
833,1993,N774FD,0.0
834,1993,N789FD,0.0
835,1993,N790FD,0.0
836,1993,N791FD,0.0
837,1993,N792FD,0.0
838,1993,N793FD,0.0
839,1993,N974FD,0.0
840,1993,N596FE,0.0
841,1993,N743CK,0.0
842,1993,N744CK,0.0
843,1993,N709CK,0.0
844,1993,N763CK,0.0
845,1993,N399CM,0.0
846,1993,N734CK,0.0
847,1993,N347CM,
848,1993,N401YK,0.0
849,1993,N401UA,142.0
850,1993,N402UA,142.0
851,1993,N403UA,142.0
852,1993,N404UA,142.0
853,1993,N405UA,142.0
854,1993,N662UA,198.0
855,1993,N663UA,198.0
856,1993,N587UA,170.0
857,1993,N588UA,170.0
858,1993,N656UA,198.0
859,1993,N657UA,198.0
860,1993,N658UA,198.0
861,1993,N659UA,198.0
862,1993,N660UA,198.0
863,1993,N661UA,198.0
864,1994,N407SW,50.0
865,1994,N270UP,0.0
866,1994,N273UP,0.0
867,1994,N274UP,0.0
868,1994,N279UP,0.0
869,1994,N287UP,0.0
870,1994,N288UP,0.0
871,1994,N436UP,0.0
872,1994,N437UP,0.0
873,1994,N438UP,0.0
874,1994,N439UP,0.0
875,1994,N440UP,0.0
876,1994,N441UP,0.0
877,1994,N442UP,0.0
878,1994,N443UP,0.0
879,1994,N444UP,0.0
880,1994,N445UP,0.0
881,1994,N446UP,0.0
882,1994,N447UP,0.0
883,1994,N579UP,0.0
884,1994,N1373A,269.0
885,1994,N1489A,269.0
886,1994,N1619A,269.0
887,1994,N1997A,269.0
888,1994,N751CX,42.0
889,1994,N337AZ,0.0
890,1994,N347AZ,0.0
891,1994,N419AZ,0.0
892,1994,N938UW,188.0
893,1994,N385AM,209.0
894,1994,N939UW,188.0
895,1994,N698AN,182.0
896,1994,N371CM,0.0
897,1994,N651FE,0.0
898,1994,N653FE,0.0
899,1994,N654FE,0.0
900,1994,N655FE,0.0
901,1994,N812FX,0.0
902,1994,N700FX,0.0
903,1994,N701FX,0.0
904,1994,N702FX,0.0
905,1994,N925FD,0.0
906,1994,N950FD,0.0
907,1994,N927FD,0.0
908,1994,N967FD,0.0
909,1994,N652FE,0.0
910,1994,N811FL,0.0
911,1994,N764CK,0.0
912,1994,N415JN,0.0
913,1994,N513SN,0.0
914,1994,N542KD,0.0
915,1994,N543JN,0.0
916,1994,N581JN,0.0
917,1994,N356KD,0.0
918,1994,N378CX,
919,1994,N757QM,0.0
920,1994,N58101,169.0
921,1994,N14102,169.0
922,1994,N17104,169.0
923,1994,N17105,169.0
924,1994,N14106,169.0
925,1994,N14107,169.0
926,1994,N21108,169.0
927,1994,N12109,169.0
928,1994,N13110,169.0
929,1994,N57111,169.0
930,1994,N33103,169.0
931,1994,N406UA,142.0
932,1994,N407UA,142.0
933,1994,N413UA,142.0
934,1994,N416UA,142.0
935,1994,N417UA,142.0
936,1994,N410UA,142.0
937,1994,N408UA,142.0
938,1994,N409UA,142.0
939,1994,N411UA,142.0
940,1994,N412UA,142.0
941,1994,N414UA,142.0
942,1994,N415UA,142.0
943,1994,N418UA,142.0
944,1994,N419UA,142.0
945,1994,N420UA,142.0
946,1994,N421UA,142.0
947,1995,N351AX,272.0
948,1995,N432AX,243.0
949,1995,N370RS,12.0
950,1995,N208CE,9.0
951,1995,N250UP,0.0
952,1995,N251UP,0.0
953,1995,N278UP,0.0
954,1995,N301UP,0.0
955,1995,N302UP,0.0
956,1995,N303UP,0.0
957,1995,N304UP,0.0
958,1995,N305UP,0.0
959,1995,N448UP,0.0
960,1995,N449UP,0.0
961,1995,N450UP,0.0
962,1995,N451UP,0.0
963,1995,N452UP,0.0
964,1995,N453UP,0.0
965,1995,N454UP,0.0
966,1995,N455UP,0.0
967,1995,N489MC,0.0
968,1995,N1321A,269.0
969,1995,N1361A,269.0
970,1995,N645GT,269.0
971,1995,N662GT,269.0
972,1995,N663GT,269.0
973,1995,N389AZ,0.0
974,1995,N311GT,0.0
975,1995,N201UU,188.0
976,1995,N202UW,188.0
977,1995,N200UU,188.0
978,1995,N206UW,188.0
979,1995,N388AA,209.0
980,1995,N390AA,209.0
981,1995,N391AA,209.0
982,1995,N535US,199.0
983,1995,N536US,199.0
984,1995,N685DA,199.0
985,1995,N686DA,199.0
986,1995,N185DN,211.0
987,1995,N186DN,226.0
988,1995,N394DL,226.0
989,1995,N908DA,158.0
990,1995,N909DA,158.0
991,1995,N910DN,158.0
992,1995,N911DA,158.0
993,1995,N901DA,158.0
994,1995,N904DA,158.0
995,1995,N905DA,158.0
996,1995,N906DA,158.0
